id,name,created_at,advertisers_entities.id,entities.short_name,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
cf18e8a3-f8c3-4d7f-9b6c-4e8d2a5aa8a4,Ches Crosbie,2022-08-16T15:23:52.417Z,169fb7fe-1f6f-4d21-995f-e338e3cc5342,Con,Canada,ca,1376176359109704,Ches Crosbie,Facebook
570cd1e9-168b-4db9-8a9f-183893b73eba,Yukon Party,2022-08-16T15:23:52.411Z,3f79d936-9fd8-492c-8f3c-98da2f866d07,Con,Canada,ca,1706557139586349,Yukon Party,Facebook
68dd021b-d9dc-4efc-a13d-9c93b39cd8bc,Stephen Mandel,2022-08-16T15:23:52.284Z,a8ab0deb-8914-4f64-a85e-bdafc23fdc9d,Oth,Canada,ca,1547157095520871,Stephen Mandel,Facebook
ede80489-923d-4441-badc-9bcf5c40eb5e,Progressive Conservative Party of Newfoundland,2022-08-16T15:23:52.416Z,62709b49-479e-4ba5-b911-624c70a1f26b,Con,Canada,ca,1438704663020227,Progressive Conservative Party of Newfoundland,Facebook
58e2e5e7-ff5d-4b20-8679-ee2c114ade29,David Khan,2022-08-16T15:23:52.411Z,e8ff3be1-804b-42a3-9d37-a0eac91fcd9c,Lib,Canada,ca,1484762145133088,David Khan,Facebook
c4e43123-c909-4370-9300-e0e23c4964ea,Alberta New Democratic Party,2022-08-16T15:24:40.919Z,c9dc15fc-a410-4639-b417-19c9d042965f,NDP,Canada,ca,184257548280251,Alberta New Democratic Party,Facebook
16c49972-3d61-45bd-9583-875211b8370f,Saskatchewan New Democratic Party,2022-08-16T15:24:41.022Z,3129d4b6-1a2f-4587-b206-d06b8c21a168,NDP,Canada,ca,117475525574,Saskatchewan New Democratic Party,Facebook
203b5ca1-cee8-48f4-9da0-b96ad7d54ed9,Yukon Liberal Party,2022-08-16T15:24:41.157Z,ea72b3ef-7c06-4f01-bf2c-09c8239ae495,Lib,Canada,ca,220062241344288,Yukon Liberal Party,Facebook
918a6e1a-e29f-451b-8625-8cda179684a9,New Brunswick Liberal Association,2022-08-16T15:24:41.240Z,3ec3ebd4-e14e-4870-a4da-fa1acafa9749,Lib,Canada,ca,105755999519492,New Brunswick Liberal Association,Facebook
66e57502-1bea-4559-b009-f2e8b16abb56,Philippe Couillard,2022-08-16T15:24:41.377Z,bf7d7451-6190-4446-bf95-d7983139ffac,Lib,Canada,ca,472741216092182,Philippe Couillard,Facebook
7a85aa53-4623-45d7-9d97-428889332d6b,Bruce Stanton MP,2022-08-16T15:24:43.448Z,941dffaf-efa7-4717-8f17-f07cd92767f7,Con,Canada,ca,183119742186129,Bruce Stanton MP,Facebook
4fa9e4bd-b235-4380-a82a-a7cff99f7c10,Francesco Sorbara,2022-08-16T15:24:43.549Z,908a174b-55d7-4af1-b7c1-4a5d40c971ba,Lib,Canada,ca,298540300287087,Francesco Sorbara,Facebook
7e756ddd-1f30-40b8-9260-491e18106168,"Bonita Zarrillo for MP, Port Moody-Coquitlam",2022-08-16T15:24:43.672Z,ea2c10bb-6539-4b36-9b3e-19a3ce8e6669,NDP,Canada,ca,181159132834984,"Bonita Zarrillo for MP, Port Moody-Coquitlam",Facebook
8c6dd938-d28d-4574-88ff-0e57cd04d6e9,Harjit Sajjan,2022-08-16T15:24:43.819Z,f07f7467-265a-4ba5-805f-7939640bead6,Lib,Canada,ca,333515650184221,Harjit Sajjan,Facebook
9c24f33c-755d-4080-8502-e90dba874c36,Eleanor Olszewski,2022-08-16T15:24:43.985Z,3431de46-7ae5-4d34-8181-9ca492e71c65,Lib,Canada,ca,1474443519490454,Eleanor Olszewski,Facebook
177fa5f4-41dc-455d-b174-7d8aeb7cf9c2,Sarah Chung,2022-08-16T15:24:44.130Z,b3c4693e-c0e1-4647-b814-f38cb59e9ea4,PP,Canada,ca,361537807894767,Sarah Chung,Facebook
e2a6e526-7ff0-403e-8af2-6605dc617fb9,Julie Dzerowicz,2022-08-16T15:24:44.279Z,dbd6ce31-eeb5-41be-9968-305737306617,Lib,Canada,ca,231211090395156,Julie Dzerowicz,Facebook
664da885-be98-48fe-9646-91f22f1191ae,Don Davies,2022-08-16T15:24:44.404Z,222080a7-1358-4394-82e9-00cd02e8f4dd,NDP,Canada,ca,8223823389,Don Davies,Facebook
d6386222-0423-4aeb-bae9-84adf0e48b6b,Stephen Fuhr CD,2022-08-16T15:24:44.559Z,73dbf28e-bfcb-42d4-b1b9-c82c77781b78,Lib,Canada,ca,1443106535933598,Stephen Fuhr CD,Facebook
ae99bbbb-2917-4f1e-bced-d77e4518e056,"Marie-Josée Guérette, candidate conservatrice dans Louis-Hébert",2022-08-16T15:24:44.682Z,1ddad9fe-ae6d-497d-8385-f0119d97a56c,Con,Canada,ca,384430678857010,"Marie-Josée Guérette, candidate conservatrice dans Louis-Hébert",Facebook
fcf9fda4-4bea-49de-8222-d96f22396c7b,Jagmeet Singh,2022-08-16T15:24:44.793Z,1c4c03f9-d98a-41a7-ba41-76d89e319490,NDP,Canada,ca,177161812331407,Jagmeet Singh,Facebook
2bcf569f-4a84-464d-8d8c-10acf4d15eae,Hon. John McKay for Scarborough-Guildwood,2022-08-16T15:24:44.913Z,2c6ae921-ec96-4837-9c3c-57ee460b4267,Lib,Canada,ca,1570073109983823,Hon. John McKay for Scarborough-Guildwood,Facebook
d19c3f4e-93d1-4c10-8b87-3844ea8f946b,Bobby Morrissey,2022-08-16T15:24:45.036Z,0fc50cea-d46a-4547-9aaa-d2f32e925f7e,Lib,Canada,ca,348506835311346,Bobby Morrissey,Facebook
0c7af0e0-ffdf-46bc-84c5-1b857dd5e942,"Nimâ Machouf, Candidate NPD dans Laurier-Sainte-Marie",2022-08-16T15:24:45.309Z,2fabe580-375d-4494-b07a-fa41a8ba7d4e,NDP,Canada,ca,444788156266627,"Nimâ Machouf, Candidate NPD dans Laurier-Sainte-Marie",Facebook
583f12af-038e-490f-8a12-726d387350c6,Phil McColeman,2022-08-16T15:24:45.445Z,93ebe03c-5c2d-49f5-8061-52a131435535,Con,Canada,ca,200005007104424,Phil McColeman,Facebook
6e61079a-8b6a-468a-8e8e-cf9100fa688f,Vote Yvonne Hanson—Vancouver Granville NDP,2022-08-16T15:24:45.815Z,29e50cae-905b-4c1f-a1c8-613b141c193b,NDP,Canada,ca,498155550309903,Vote Yvonne Hanson—Vancouver Granville NDP,Facebook
c3a4384c-0fe2-4e67-a75a-0805a6323768,Tommy Bureau - Candidat du NPD pour Québec,2022-08-16T15:24:45.955Z,1701f6c4-0ac6-4be2-872d-2e3e191472b0,NDP,Canada,ca,104298747623383,Tommy Bureau - Candidat du NPD pour Québec,Facebook
db1fd47d-feaf-434b-890c-ef8dce9459e9,Leah Taylor Roy,2022-08-16T15:24:46.074Z,a42c99d4-dba4-4fef-ab9e-2040b5df5996,Lib,Canada,ca,330155934542275,Leah Taylor Roy,Facebook
0d0f4387-5925-4b68-aff8-57a2cfad3ba2,Carmen Lemieux - Sarnia-Lambton,2022-08-16T15:24:46.195Z,dbd6d1b9-9700-48e8-8696-75dd0981b6ae,Lib,Canada,ca,2296998597024899,Carmen Lemieux - Sarnia-Lambton,Facebook
dd5c8bcf-2677-4527-a022-a10013c3927f,PPC - Saskatoon University Association,2022-08-16T15:24:46.318Z,538064d5-689c-455d-8fa3-f7aa05030f80,PP,Canada,ca,2379037232382682,PPC - Saskatoon University Association,Facebook
a8b40d2d-f4e4-4303-aec4-9e3d4011601d,Mark Gerretsen,2022-08-16T15:24:46.441Z,bf8513fc-4fa8-4fae-9d0b-76cf2ff24d4e,Lib,Canada,ca,121658954562795,Mark Gerretsen,Facebook
edcbc015-7062-4098-84db-9979373ab30d,"Frédérik Bernier, candidat Parti vert du Canada dans Drummond",2022-08-16T15:24:46.574Z,6c8085a2-bebb-44b4-bbdc-66f5591da1b6,Gre,Canada,ca,101385397909130,"Frédérik Bernier, candidat Parti vert du Canada dans Drummond",Facebook
36e0e9ae-d6dc-4d10-862b-6fdf8ff7d784,Cynthia Wesley-Esquimaux,2022-08-16T15:24:46.700Z,ffdf8a84-9d33-4c82-9e3b-cec68bd8e594,Lib,Canada,ca,111383184569,Cynthia Wesley-Esquimaux,Facebook
